episode: 129/10000, score: 124, e: 0.0099, -63
episode: 130/10000, score: 124, e: 0.0099, -62
episode: 131/10000, score: 124, e: 0.0099, -61
episode: 132/10000, score: 124, e: 0.0099, -62
episode: 133/10000, score: 124, e: 0.0099, -63
episode: 134/10000, score: 124, e: 0.0099, -64
episode: 135/10000, score: 124, e: 0.0099, -65
episode: 136/10000, score: 124, e: 0.0099, -64
episode: 137/10000, score: 124, e: 0.0099, -63
episode: 138/10000, score: 124, e: 0.0099, -64
episode: 139/10000, score: 124, e: 0.0099, -65
episode: 140/10000, score: 124, e: 0.0099, -66
episode: 141/10000, score: 124, e: 0.0099, -67
episode: 142/10000, score: 124, e: 0.0099, -66
episode: 143/10000, score: 124, e: 0.0099, -65
episode: 144/10000, score: 124, e: 0.0099, -66
episode: 145/10000, score: 124, e: 0.0099, -67
episode: 146/10000, score: 124, e: 0.0099, -68
episode: 147/10000, score: 124, e: 0.0099, -69
episode: 148/10000, score: 124, e: 0.0099, -68
episode: 149/10000, score: 250, e: 0.0099, -69
episode: 150/10000, score: 124, e: 0.0099, -70
episode: 151/10000, score: 124, e: 0.0099, -71
episode: 152/10000, score: 124, e: 0.0099, -72
episode: 153/10000, score: 124, e: 0.0099, -71
episode: 154/10000, score: 124, e: 0.0099, -72
episode: 155/10000, score: 124, e: 0.0099, -73
episode: 156/10000, score: 124, e: 0.0099, -74
episode: 157/10000, score: 124, e: 0.0099, -75
episode: 158/10000, score: 124, e: 0.0099, -76
episode: 159/10000, score: 124, e: 0.0099, -75
episode: 160/10000, score: 124, e: 0.0099, -76
episode: 161/10000, score: 124, e: 0.0099, -77
episode: 162/10000, score: 124, e: 0.0099, -78
episode: 163/10000, score: 124, e: 0.0099, -79
episode: 164/10000, score: 124, e: 0.0099, -80
episode: 165/10000, score: 124, e: 0.0099, -79
episode: 166/10000, score: 124, e: 0.0099, -80
episode: 167/10000, score: 124, e: 0.0099, -81
episode: 168/10000, score: 124, e: 0.0099, -82
episode: 169/10000, score: 124, e: 0.0099, -83
episode: 170/10000, score: 124, e: 0.0099, -84
episode: 171/10000, score: 124, e: 0.0099, -83
episode: 172/10000, score: 124, e: 0.0099, -84
episode: 173/10000, score: 124, e: 0.0099, -85
episode: 174/10000, score: 124, e: 0.0099, -86
episode: 175/10000, score: 124, e: 0.0099, -87
episode: 176/10000, score: 124, e: 0.0099, -86
episode: 177/10000, score: 124, e: 0.0099, -85
episode: 178/10000, score: 124, e: 0.0099, -86
episode: 179/10000, score: 124, e: 0.0099, -87
episode: 180/10000, score: 124, e: 0.0099, -88
episode: 181/10000, score: 124, e: 0.0099, -89
episode: 182/10000, score: 124, e: 0.0099, -88
episode: 183/10000, score: 124, e: 0.0099, -87
episode: 184/10000, score: 124, e: 0.0099, -88
episode: 185/10000, score: 124, e: 0.0099, -89
episode: 186/10000, score: 124, e: 0.0099, -90
episode: 187/10000, score: 124, e: 0.0099, -91
episode: 188/10000, score: 124, e: 0.0099, -90
episode: 189/10000, score: 124, e: 0.0099, -91
episode: 190/10000, score: 124, e: 0.0099, -92
episode: 191/10000, score: 124, e: 0.0099, -93
episode: 192/10000, score: 124, e: 0.0099, -94
episode: 193/10000, score: 124, e: 0.0099, -95
episode: 194/10000, score: 124, e: 0.0099, -94
episode: 195/10000, score: 124, e: 0.0099, -95
episode: 196/10000, score: 124, e: 0.0099, -96
episode: 197/10000, score: 124, e: 0.0099, -97
episode: 198/10000, score: 124, e: 0.0099, -98
episode: 199/10000, score: 124, e: 0.0099, -99
episode: 200/10000, score: 124, e: 0.0099, -98
episode: 201/10000, score: 124, e: 0.0099, -99
episode: 202/10000, score: 124, e: 0.0099, -100
episode: 203/10000, score: 124, e: 0.0099, -101
episode: 204/10000, score: 124, e: 0.0099, -102
episode: 205/10000, score: 124, e: 0.0099, -103
episode: 206/10000, score: 124, e: 0.0099, -102
episode: 207/10000, score: 124, e: 0.0099, -103
episode: 208/10000, score: 124, e: 0.0099, -104
episode: 209/10000, score: 124, e: 0.0099, -105
episode: 210/10000, score: 124, e: 0.0099, -106
episode: 211/10000, score: 124, e: 0.0099, -107
episode: 212/10000, score: 124, e: 0.0099, -106
episode: 213/10000, score: 124, e: 0.0099, -107
episode: 214/10000, score: 124, e: 0.0099, -108
episode: 215/10000, score: 124, e: 0.0099, -109
